storeid,picturepath,newpicturepath
319,lof/seller/IMG_20151003_155002.jpg,lof/seller/IMG_20151003_155002-480x640.jpg
320,lof/seller/IMG_20151003_161808.jpg,lof/seller/IMG_20151003_161808-600x800.jpg
321,lof/seller/IMG_20151003_162733.jpg,lof/seller/IMG_20151003_162733-612x816.jpg
322,lof/seller/IMG_20151003_164339.jpg,lof/seller/IMG_20151003_164339-600x800.jpg
323,lof/seller/IMG_20151005_150754.jpg,lof/seller/IMG_20151005_150754-612x345.jpg
324,lof/seller/IMG_20151005_151500.jpg,lof/seller/IMG_20151005_151500-364x205.jpg
325,lof/seller/IMG_20151005_152300.jpg,lof/seller/IMG_20151005_152300-480x640.jpg
327,lof/seller/IMG_20151005_153541.jpg,lof/seller/IMG_20151005_153541-600x800.jpg
329,lof/seller/IMG_20151005_154247.jpg,lof/seller/IMG_20151005_154247-600x800.jpg
330,lof/seller/IMG_20151005_155102.jpg,lof/seller/IMG_20151005_155102-480x640.jpg
331,lof/seller/IMG_20151005_155359.jpg,lof/seller/IMG_20151005_155359-364x645.jpg
333,lof/seller/IMG_20151005_160110.jpg,lof/seller/IMG_20151005_160110-480x640.jpg
334,lof/seller/IMG_20151005_160246.jpg,lof/seller/IMG_20151005_160246-364x205.jpg
336,lof/seller/IMG_20151005_161400.jpg,lof/seller/IMG_20151005_161400-600x800.jpg
337,lof/seller/IMG_20151005_162313.jpg,lof/seller/IMG_20151005_162313-480x640.jpg
338,lof/seller/IMG_20151005_163150.jpg,lof/seller/IMG_20151005_163150-480x640.jpg
339,lof/seller/IMG_20151005_163835.jpg,lof/seller/IMG_20151005_163835-480x640.jpg
340,lof/seller/IMG_20151005_165126.jpg,lof/seller/IMG_20151005_165126-480x640.jpg
341,lof/seller/IMG_20151005_170325.jpg,lof/seller/IMG_20151005_170325-480x640.jpg
342,lof/seller/IMG_20151005_171030.jpg,lof/seller/IMG_20151005_171030-600x800.jpg
345,lof/seller/IMG_20151009_140208.jpg,NA
346,lof/seller/IMG_20151009_150841.jpg,lof/seller/IMG_20151009_150841-364x645.jpg
347,lof/seller/IMG_20151009_151529.jpg,lof/seller/IMG_20151009_151529-364x645.jpg
348,lof/seller/IMG_20151009_152242.jpg,NA
349,lof/seller/IMG_20151009_152747.jpg,NA
350,lof/seller/IMG_20151009_155015.jpg,NA
351,lof/seller/IMG_20151009_155406.jpg,NA
352,lof/seller/IMG_20151009_160614.jpg,lof/seller/IMG_20151009_160614-480x640.jpg
353,lof/seller/IMG_20151009_162358.jpg,NA
354,lof/seller/IMG_20151009_162515.jpg,NA
355,lof/seller/IMG_20151009_163050.jpg,NA
356,lof/seller/IMG_20151009_163358.jpg,NA
357,lof/seller/IMG_20151009_163712.jpg,lof/seller/IMG_20151009_163712-364x648.jpg
358,lof/seller/IMG_20151009_164203.jpg,lof/seller/IMG_20151009_164203-364x648.jpg
359,lof/seller/IMG_20151009_164611.jpg,NA
360,lof/seller/IMG_20151009_165012.jpg,lof/seller/IMG_20151009_165012-364x648.jpg
361,lof/seller/IMG_20151009_165608.jpg,NA
362,lof/seller/IMG_20151009_165958.jpg,NA
363,lof/seller/IMG_20151009_170859.jpg,NA
364,lof/seller/IMG_20151009_171239.jpg,lof/seller/IMG_20151009_171239-364x648.jpg
365,lof/seller/IMG_20151009_171925.jpg,NA
366,lof/seller/IMG_20151009_172344.jpg,lof/seller/IMG_20151009_172344-364x648.jpg
367,lof/seller/IMG_20151009_172715.jpg,lof/seller/IMG_20151009_172715-364x648.jpg
368,lof/seller/IMG_20151009_173004.jpg,lof/seller/IMG_20151009_173004-364x648.jpg
369,lof/seller/IMG_20151009_173543.jpg,NA
370,lof/seller/IMG_20151009_173933.jpg,lof/seller/IMG_20151009_173933-364x648.jpg
371,lof/seller/IMG_20151009_174414.jpg,lof/seller/IMG_20151009_174414-364x648.jpg
372,lof/seller/IMG_20151009_180313.jpg,lof/seller/IMG_20151009_180313-364x648.jpg
373,lof/seller/IMG_20151009_180536.jpg,lof/seller/IMG_20151009_180536-364x648.jpg
374,lof/seller/IMG_20151009_181041.jpg,lof/seller/IMG_20151009_181041-364x648.jpg
375,lof/seller/IMG_20151009_181451.jpg,lof/seller/IMG_20151009_181451-364x648.jpg
377,lof/seller/IMG_20151010_110912.jpg,NA
378,lof/seller/IMG_20151010_112034.jpg,lof/seller/IMG_20151010_112034-364x648.jpg
379,lof/seller/IMG_20151010_145252.jpg,NA
380,lof/seller/IMG_20151010_145920.jpg,NA
381,lof/seller/IMG_20151010_150343.jpg,lof/seller/IMG_20151010_150343-364x648.jpg
382,lof/seller/IMG_20151010_150254.jpg,NA
383,lof/seller/IMG_20151010_152002.jpg,NA
384,lof/seller/IMG_20151010_152546.jpg,NA
385,lof/seller/IMG_20151010_153446.jpg,NA
386,lof/seller/IMG_20151010_154303.jpg,lof/seller/IMG_20151010_154303-480x640.jpg
387,lof/seller/IMG_20151010_154808.jpg,lof/seller/IMG_20151010_154808-480x640.jpg
388,lof/seller/IMG_20151010_155307.jpg,lof/seller/IMG_20151010_155307-480x640.jpg
389,lof/seller/IMG_20151010_155715.jpg,lof/seller/IMG_20151010_155715-480x640.jpg
390,lof/seller/IMG_20151010_160047.jpg,lof/seller/IMG_20151010_160047-480x640.jpg
391,lof/seller/IMG_20151010_160526.jpg,lof/seller/IMG_20151010_160526-480x640.jpg
392,lof/seller/IMG_20151010_161007.jpg,lof/seller/IMG_20151010_161007-480x640.jpg
393,lof/seller/IMG_20151010_161455.jpg,lof/seller/IMG_20151010_161455-480x640.jpg
394,lof/seller/IMG_20151010_161926.jpg,lof/seller/IMG_20151010_161926-480x640.jpg
395,lof/seller/IMG_20151010_162551.jpg,lof/seller/IMG_20151010_162551-480x640.jpg
396,lof/seller/IMG_20151010_162913.jpg,lof/seller/IMG_20151010_162913-480x640.jpg
