id,article,lo,brand,kirana_group,brand1,variant,product,item,size,size1,volume,uom_type,uom,description,price,long_description,qa_data_uploaded,qa_uploaded_error
4735,491093709,,,,Cizmeci Time Wafer,Wafer Biscuit ,Biscuit Cappuccino ,Cizmeci Time Wafer Biscuit Cappuccino ,65 gm,gm,65,gm,pack,Cizmeci Time Wafer Biscuit Cappuccino 65 gm,50,Cizmeci Time Wafer Biscuit Cappuccino crunchy and crispy rolled wafers are filled with chocolate cream and covered with delicious dark chocolate.,0,image not found
4736,490063646,,,,Livon,Silky Potion,Silky Potion,Livon Silky Potion,50 ml,ml,50,ml,Bottle,Livon Silky Potion 50Ml,115,"Livon Silky Potion controls frizz, eases out tangles and reduces breakage to give you silky, shiny hair. ",0,image not found
4737,490972105,,,,Tresemme ,Climate Control ,Control Condr,Tresemme Climate Control Condr,215 ml,ml,215,ml,Bottle,Tresemme Climate Control Condr 215Ml,171,"Tresemme Climate Control Condr with unique Climate Control Complex, gently cleanses and moisturizes hair.",0,image not found
4738,490972110,,,,Tresemme ,Smooth & Shine Condr,Shine Condr ,Tresemme Smooth & Shine Condr ,90 ml,ml,90,ml,Bottle,Tresemme Smooth & Shine Condr 90Ml,83,"Tresemme Smooth & Shine Condr with vitamin H and silk proteins that intensely moisturize dry, rough hair.",0,image not found
4739,490316240,Conditioner,,,Dove,Ht Dryness Care ,Conditioner,Dove Ht Dryness Care Conditioner,180 ml,ml,180,ml,Bottle,Dove Ht Dryness Care Conditioner 180 Ml,176,"If you want soft, silky hair every day, the key is moisture and care every single day,  try Dove Dryness Care Conditioner.",0,image not found
4741,490766733,Shampoo,,,Loreal,Smooth Intense ,Shampoo,Loreal Smooth Intense Shampoo,360 Ml,ml,360,ml,Bottle,Loreal Smooth Intense Shampoo 360 Ml,265,L'Oreal  Smooth Intense Smoothing Conditioner nourishes and smoothens your hair from root to tip making it look more smooth & manageable.,0,image not found
4742,491061005,Shampoo,,,Sunsilk ,Radiant Shine,Shampoo,Sunsilk Radiant Shine Shampoo ,340 ml,ml,340,ml,Bottle,Sunsilk Radiant Shine Shampoo 340Ml,192,Sunsilk Radiant Shine Shampoo is infused with the goodness of ultralight fusion of 5 natural oils that cleanses hair thoroughly.,0,image not found
4743,490819083,,,,Loreal,Paris Casting Cg,Paris Casting Cg,Loreal Paris Casting Cg,400,Pack,400,packs,pack,Loreal Paris Casting Cg 400,575,L'Oreal Paris Casting Cg  Crème Gloss is a new generation of non-ammonia hair colorants that give you natural-looking hair colour with visible shimmering ,0,image not found
4744,490548684,,,,Loreal,Paris Excellnce,Paris Excellnce,L'Oreal Paris Excellnce,4.25,Pack,4.25,packs,pack,L'Oreal Paris Excellnce 4.25,559,L'Oreal Paris Excellence  is The 100% gray hair coverage that conditions mature hair & revitalizes every fibre.,0,image not found
4745,491046186,,,,Tresemme ,Keratin Smooth,Conditonr ,Tresemme Keratin Smooth Conditonr ,225 ml,ml,225,ml,pack,Tresemme Keratin Smooth Conditonr 225Ml,204,"Tresemme Keratin Smooth Conditonr  to get smooth, more manageable hair for up to 48 hours. So get ready to say so-long to frizzs",0,image not found
4746,491039756,Shampoo,,,Dove ,Split End Rescue ,Shampoo,Dove Split End Rescue Shampoo ,650 ml,ml,650,ml,pack,Dove Split End Rescue Shampoo 650Ml,349,A gentle Dove shampoo to nourish damaged hair and protect from split ends. A treatment which consists of a shampoo and conditioner under its Damage Repair hair care range.,0,image not found
4747,490782392,,,,Parachute, Advansedhot Oil , Advansedhot Oil ,Parachute Advansedhot Oil ,90 ml,ml,90,ml,Bottle,Parachute Advansedhot Oil 90 Ml,50,Parachute Advansed Ayurvedic hot oil is a coconut oil enriched with ayurvedic warming oils of 'Malakangani' and 'Piper Nigrum' ,0,image not found
4748,490966834,,,,Tresemme ,Hairfall Defense Shamp,Shampoo,Tresemme Hairfall Defense Shamp,90 ml,ml,90,ml,Bottle,Tresemme Hairfall Defense Shamp 90Ml,75,TRESemmé Hair Fall Defense shampoo helps reinforce your hair strength and prevents hair fall due to breakage. For longer and stronger hair. ,0,image not found
4749,490886399,Shampoo,,,Dove,Nourishing Oil,Oil Care Shampoo,Dove Nourishing Oil Care Shampoo ,340 ml,ml,340,ml,Bottle,Dove Nourishing Oil Care Shampoo 340Ml,265,Enjoy silky hair with Dove Nourishing Oil Care Shampoo that helps to smooth up to 100% of roughness and control frizz.,0,image not found
4750,490016062,,,,Parachute ,Jasmine Hair Oil,Jasmine Hair Oil,Parachute Jasmine Hair Oil,90 ml,ml,90,ml,Bottle,Parachute Jasmine Hair Oil 90 Ml,39,"Parachute Jasmine is perfumed coconut hair oil that’s non-sticky and has the lingering fragrance of Jasmine that nourishes hair to keep it healthy and beautiful. While the goodness of Coconut acts as a moisturiser, the pleasant Jasmine fragrance adds to the purity of Abhyang Snan.",0,image not found
4751,490766735,Shampoo,,,Loreal,Nutri Gloss Shampoo ,Shampoo,Loreal Nutri Gloss Shampoo ,360 ml,ml,360,ml,Bottle,Loreal Nutri Gloss Shampoo 360 Ml,265,Hair Expert Nutri-Gloss Shampoo boosts dull hair by adding shine and gloss to hair for 48 hours. Haircare system for silky and soft hair by L'Oréal Paris.,0,image not found
