"81","India","Maharashtra","Navi Mumbai","Vashi","Sector 5"
"82","India","Maharashtra","Navi Mumbai","Vashi","Sector 6"
"83","India","Maharashtra","Navi Mumbai","Vashi","Sector 7"
"84","India","Maharashtra","Navi Mumbai","Vashi","Sector 8"
"85","India","Maharashtra","Navi Mumbai","Vashi","Sector 9"
"86","India","Maharashtra","Navi Mumbai","Vashi","Sector 9A"
"87","India","Maharashtra","Navi Mumbai","Vashi","Sector 10"
"88","India","Maharashtra","Navi Mumbai","Vashi","Sector 10A"
"89","India","Maharashtra","Navi Mumbai","Vashi","Sector 11"
"90","India","Maharashtra","Navi Mumbai","Vashi","Sector 12"
"91","India","Maharashtra","Navi Mumbai","Vashi","Sector 13"
"92","India","Maharashtra","Navi Mumbai","Vashi","Sector 14"
"93","India","Maharashtra","Navi Mumbai","Vashi","Sector 15"
"94","India","Maharashtra","Navi Mumbai","Vashi","Sector 16"
"95","India","Maharashtra","Navi Mumbai","Vashi","Sector 16A"
"96","India","Maharashtra","Navi Mumbai","Vashi","Sector 17"
"97","India","Maharashtra","Navi Mumbai","Vashi","Sector 18"
"98","India","Maharashtra","Navi Mumbai","Vashi","Sector 19A"
"99","India","Maharashtra","Navi Mumbai","Vashi","Sector 19B"
"100","India","Maharashtra","Navi Mumbai","Vashi","Sector 19C"
"101","India","Maharashtra","Navi Mumbai","Vashi","Sector 19D"
"102","India","Maharashtra","Navi Mumbai","Vashi","Sector 19E"
"103","India","Maharashtra","Navi Mumbai","Vashi","Sector 19F"
"104","India","Maharashtra","Navi Mumbai","Vashi","Sector 20"
"105","India","Maharashtra","Navi Mumbai","Vashi","Sector 21"
"106","India","Maharashtra","Navi Mumbai","Vashi","Sector 22"
"107","India","Maharashtra","Navi Mumbai","Vashi","Sector 23"
"108","India","Maharashtra","Navi Mumbai","Vashi","Sector 24"
"109","India","Maharashtra","Navi Mumbai","Vashi","Sector 25"
"110","India","Maharashtra","Navi Mumbai","Vashi","Sector 26"
"111","India","Maharashtra","Navi Mumbai","Vashi","Sector 27"
"112","India","Maharashtra","Navi Mumbai","Vashi","Sector 28"
"113","India","Maharashtra","Navi Mumbai","Vashi","Sector 29"
"114","India","Maharashtra","Navi Mumbai","Vashi","Sector 30"
"115","India","Maharashtra","Navi Mumbai","Vashi","Sector 31"
"116","India","Maharashtra","Navi Mumbai","Sanpada","Sector 1"
"117","India","Maharashtra","Navi Mumbai","Sanpada","Sector 2"
"118","India","Maharashtra","Navi Mumbai","Sanpada","Sector 3"
"119","India","Maharashtra","Navi Mumbai","Sanpada","Sector 4"
"120","India","Maharashtra","Navi Mumbai","Sanpada","Sector 5"
"121","India","Maharashtra","Navi Mumbai","Sanpada","Sector 6"
"122","India","Maharashtra","Navi Mumbai","Sanpada","Sector 7"
"123","India","Maharashtra","Navi Mumbai","Sanpada","Sector 8"
"124","India","Maharashtra","Navi Mumbai","Sanpada","Sector 9"
"125","India","Maharashtra","Navi Mumbai","Sanpada","Sector 10"
"126","India","Maharashtra","Navi Mumbai","Sanpada","Sector 11"
"127","India","Maharashtra","Navi Mumbai","Sanpada","Sector 12"
"128","India","Maharashtra","Navi Mumbai","Sanpada","Sector 13"
"129","India","Maharashtra","Navi Mumbai","Sanpada","Sector 14"
"130","India","Maharashtra","Navi Mumbai","Sanpada","Sector 15"
"131","India","Maharashtra","Navi Mumbai","Sanpada","Sector 16"
"132","India","Maharashtra","Navi Mumbai","Sanpada","Sector 16A"
"133","India","Maharashtra","Navi Mumbai","Sanpada","Sector 17"
"134","India","Maharashtra","Navi Mumbai","Sanpada","Sector 18"
"135","India","Maharashtra","Navi Mumbai","Sanpada","Sector 19"
"136","India","Maharashtra","Navi Mumbai","Sanpada","Sector 20"
"137","India","Maharashtra","Navi Mumbai","Sanpada","Sector 21"
"138","India","Maharashtra","Navi Mumbai","Sanpada","Sector 22"
"139","India","Maharashtra","Navi Mumbai","Sanpada","Sector 23"
"140","India","Maharashtra","Navi Mumbai","Sanpada","Sector 24"
"141","India","Maharashtra","Navi Mumbai","Sanpada","Sector 25"
"142","India","Maharashtra","Navi Mumbai","Nerul","Sector 1"
"143","India","Maharashtra","Navi Mumbai","Nerul","Sector 1A"
"144","India","Maharashtra","Navi Mumbai","Nerul","Sector 2"
"145","India","Maharashtra","Navi Mumbai","Nerul","Sector 3"
"146","India","Maharashtra","Navi Mumbai","Nerul","Sector 4"
"147","India","Maharashtra","Navi Mumbai","Nerul","Sector 5"
"148","India","Maharashtra","Navi Mumbai","Nerul","Sector 6"
"149","India","Maharashtra","Navi Mumbai","Nerul","Sector 7"
"150","India","Maharashtra","Navi Mumbai","Nerul","Sector 8"
"151","India","Maharashtra","Navi Mumbai","Nerul","Sector 9"
"152","India","Maharashtra","Navi Mumbai","Nerul","Sector 10"
"153","India","Maharashtra","Navi Mumbai","Nerul","Sector 11"
"154","India","Maharashtra","Navi Mumbai","Nerul","Sector 12"
"155","India","Maharashtra","Navi Mumbai","Nerul","Sector 13"
"156","India","Maharashtra","Navi Mumbai","Nerul","Sector 14"
"157","India","Maharashtra","Navi Mumbai","Nerul","Sector 15"
"158","India","Maharashtra","Navi Mumbai","Nerul","Sector 15A"
"159","India","Maharashtra","Navi Mumbai","Nerul","Sector 16"
"160","India","Maharashtra","Navi Mumbai","Nerul","Sector 16A"
"161","India","Maharashtra","Navi Mumbai","Nerul","Sector 17"
"162","India","Maharashtra","Navi Mumbai","Nerul","Sector 18"
"163","India","Maharashtra","Navi Mumbai","Nerul","Sector 19"
"164","India","Maharashtra","Navi Mumbai","Nerul","Sector 19A"
"165","India","Maharashtra","Navi Mumbai","Nerul","Sector 20"
"166","India","Maharashtra","Navi Mumbai","Nerul","Sector 21"
"167","India","Maharashtra","Navi Mumbai","Nerul","Sector 22"
"168","India","Maharashtra","Navi Mumbai","Nerul","Sector 23"
"169","India","Maharashtra","Navi Mumbai","Nerul","Sector 24"
"170","India","Maharashtra","Navi Mumbai","Nerul","Sector 25"
"171","India","Maharashtra","Navi Mumbai","Nerul","Sector 26"
"172","India","Maharashtra","Navi Mumbai","Nerul","Sector 27"
"173","India","Maharashtra","Navi Mumbai","Nerul","Sector 28"
"174","India","Maharashtra","Navi Mumbai","Nerul","Sector 29"
"175","India","Maharashtra","Navi Mumbai","Nerul","Sector 30"
"176","India","Maharashtra","Navi Mumbai","Nerul","Sector 32"
"177","India","Maharashtra","Navi Mumbai","Nerul","Sector 34"
